object_id,path,format,role,authority_status,audience,source_hash,related_source,generated_from,generated_outputs,owner_skill,validation_status,last_validated_at,notes,source_registry
HTML-RESEARCH-CONTROL-SYSTEM-EXPLAINER,html/research-control-system-explainer.html,html,html_visual_explainer,generated_noncanonical,humans,08700575b9a817915e19eb6329c8424ff369e351061388d4939ef822a4c0b360,MD-HTML-SPEC-RESEARCH-CONTROL-SYSTEM-EXPLAINER,MD-HTML-SPEC-RESEARCH-CONTROL-SYSTEM-EXPLAINER,wiki/html/html-research-control-system-explainer.md,html-visual-explainer,PASS,2026-06-10T19:37:31Z,Human-only generated visual explainer.,HTML_EXPLAINER_REGISTRY.csv
MD-AGENTS,AGENTS.md,markdown,agent_guidance,project_control,agents,96151d1a6dd1a7c9455853b19231dc3ca81ef6afe59b765685989ad456f72827,,,wiki/markdown/md-agents.md,project-memory-system,PASS,2026-06-10T19:37:31Z,Root agent instructions and repository authority hierarchy.,MARKDOWN_SOURCE_REGISTRY.csv
MD-AGENTS-AGENTS,.agents/AGENTS.md,markdown,scoped_agent_guidance,project_control,agents,37f37011b22aee8091f72f4edc8a6d04997a512781f652a5d24db80e3dbe4ce8,,,wiki/markdown/md-agents-agents.md,project-memory-system,PASS,2026-06-10T02:34:32Z,Scoped guidance for role and schema contracts.,MARKDOWN_SOURCE_REGISTRY.csv
MD-AGENTS-RESEARCH-CONTROL,research_control/AGENTS.md,markdown,scoped_agent_guidance,project_control,agents,c69587b4bd8447ee6a4dcb082a8e0d4b7a16cdb7b0fc18bff4dfcfef7f602891,,,wiki/markdown/md-agents-research-control.md,project-memory-system,PASS,2026-06-10T18:23:33Z,Scoped guidance for tracked research-control state.,MARKDOWN_SOURCE_REGISTRY.csv
MD-HTML-SPEC-RESEARCH-CONTROL-SYSTEM-EXPLAINER,markdown/html-explainer-specs/research-control-system-explainer.md,markdown,html_explainer_source_spec,canonical_markdown_source,humans_and_agents,e3dd17749c379d79dc3b31f87d14c1149182b21c595cc4a455229b99c3a35576,,,wiki/markdown/md-html-spec-research-control-system-explainer.md,html-visual-explainer,PASS,2026-06-10T19:37:31Z,Canonical source spec for a generated human-only HTML explainer.,MARKDOWN_SOURCE_REGISTRY.csv
MD-ONTOLOGY-AETHER-AND-AETHER-FLOW,ontology/aether-and-aether-flow.md,markdown,ontology_adjacent_explanatory_documentation,explanatory_noncanonical,humans_and_agents,b8e17df2354ab0fe3cae04e43940f787dd187dd67f0f40e978de080983ac6edc,,,wiki/markdown/md-ontology-aether-and-aether-flow.md,markdown-wiki,PASS,2026-06-08T01:01:41Z,Ontology-adjacent explanatory documentation; TeX remains scientific authority.,MARKDOWN_SOURCE_REGISTRY.csv
MD-PROJECT-CONTROL-GRILL-MEMORY-WIKI-REGISTRY-DESIGN-HANDOFF,markdown/grill-memory-wiki-registry-design-handoff.md,markdown,project_control_design_handoff,project_control,agents,4d012e7abc260a48746a27b33fccfff832d65fdde8c862111e5fd36d4a36bdb0,,,wiki/markdown/md-project-control-grill-memory-wiki-registry-design-handoff.md,project-memory-system,PASS,2026-06-08T01:08:28Z,"Accepted memory, wiki, registry, and file-format design decisions.",MARKDOWN_SOURCE_REGISTRY.csv
MD-README,README.md,markdown,project_front_door,project_control,humans_and_agents,fe53586b9095b8a5f50d91e794c5c9fabd3fbf0e1d4145ddb2c5007a6162979c,,,wiki/markdown/md-readme.md,project-memory-system,PASS,2026-06-10T19:37:31Z,Project overview and repository file map.,MARKDOWN_SOURCE_REGISTRY.csv
MD-README-RESEARCH-CONTROL,research_control/README.md,markdown,research_control_documentation,project_control,humans_and_agents,0f2139bee392a04812149ee4c79a3b438e0814570cca84241160c9ed82c20933,,,wiki/markdown/md-readme-research-control.md,project-memory-system,PASS,2026-06-10T19:37:31Z,Research-control authority model and validation commands.,MARKDOWN_SOURCE_REGISTRY.csv
MD-README-RESEARCH-CONTROL-APPROVALS,research_control/approvals/README.md,markdown,approval_documentation,project_control,humans_and_agents,aea32130ed70d3eedd75d651d5015968450b3cb375324bb3732c25958d227722,,,wiki/markdown/md-readme-research-control-approvals.md,project-memory-system,PASS,2026-06-10T02:34:32Z,Human-gate approval lane documentation.,MARKDOWN_SOURCE_REGISTRY.csv
MD-RESEARCH-CONTROL-DESIGN-DIRECTOR-LED-AGENT-ARCHITECTURE-GRILL-DECISIONS,research_control/design/director_led_agent_architecture_grill_decisions.md,markdown,research_control_design,project_control,agents,2a776e672d0246cdad5dbed03711f54e8a8e2bbbfeb8b4b0960950a7117f53af,,,wiki/markdown/md-research-control-design-director-led-agent-architecture-grill-decisions.md,project-memory-system,PASS,2026-06-10T02:34:32Z,Authored design note for research-control architecture.,MARKDOWN_SOURCE_REGISTRY.csv
